sg_address1,sg_address2,sg_address3,zipcode
14 KUNG CHONG ROAD,#08-01 LUM CHANG BUILDING,SINGAPORE,159150
352 JALAN BOON LAY,,SINGAPORE,619531
11 PANDAN ROAD,,SINGAPORE,609259
6 CLEMENTI LOOP,,SINGAPORE,129814
2B MANDAI ESTATE,#01-02 BHL FACTORIES,SINGAPORE,729929
NO. 48 PENJURU ROAD,#04-00,SINGAPORE,609152
"38C, JALAN PEMIMPIN #04-01",,SINGAPORE,577180
20 SCIENCE PARK ROAD,#03-12A TELETECH PARK,SINGAPORE,117674
150 SOUTH BRIDGE ROAD,#09-04 FOOK HAI BUILDING,SINGAPORE,058727
NO 9 LOYANG WAY,#05-01 KRISLITE BUILDING,SINGAPORE,508722
"100G PASIR PANJANG RD, #06-07,",INTERLOCAL CENTRE,SINGAPORE,118523
33 UBI AVENUE 3,#07-66/67 VERTEX,SINGAPORE,408868
24 BOON LAY WAY,#01-69 TRADEHUB 21,SINGAPORE,609969
15 FOURTH LOK YANG RD,#02-01,SINGAPORE,629711
391B ORCHARD ROAD,#11 - 03 NGEE ANN CITY TOWER B,SINGAPORE,238874
31 BUKIT BATOK CRESCENT,#01-02 THE SPLENDOUR,SINGAPORE,658070
105 SIMS AVENUE,#05-06 CHANCERLODGE CMPLX,SINGAPORE,387429
7500A BEACH ROAD,#14-319/320 THE PLAZA,SINGAPORE,199591
3 ANG MO KIO ELECTRONICS PARK ROAD,,SINGAPORE,567714
77 HIGH STREET,#04-05 HIGH STREET PLAZA,SINGAPORE,179433
NO. 1 YISHUN INDUSTRIAL STREET 1,#05-09 A'POSH BIZHUB,SINGAPORE,768160
"8 BOON LAY WAY,",#03-03 TRADE HUB 21,SINGAPORE,609964
10 ANSON ROAD,#21-12 INTERNATIONAL PLAZA,SINGAPORE,079903
7 ANG MO KIO ST 64,,SINGAPORE,569086
"NO. 76 CIRCULAR ROAD,","#02-01,",SINGAPORE,049430
11 WOODLANDS CLOSE,#08-04 WOODLANDS 11,SINGAPORE,737853
60 PUNGGOL EAST,#01-07 PUNGGOL DRIVING RANGE,SINGAPORE,828825
24 TUAS WEST ROAD,,SINGAPORE,638381
140 HILL STREET #01-01A,#01-01A OLD HILLSTREET POLICE STATION,SINGAPORE,179369
"152 BEACH ROAD,","#21-07/08, GATEWAY EAST,",SINGAPORE,189721
36 LOYANG WAY,,SINGAPORE,508771
43 SHIPYARD RD,,SINGAPORE,628135
"70 BENDEMEER ROAD,","#05-04 LUZERNE,",SINGAPORE,339940
1 MAGAZINE ROAD,#07-07/08 CENTRAL MALL,SINGAPORE,059567
1 SOON LEE STREET,#04-36 PIONEER CENTRE,SINGAPORE,627605
7 TEMASEK BOULEVARD,#37-01 SUNTEC TOWER ONE,SINGAPORE,038987
(A NOKIA CORPORATION COMPANY),438B ALEXANDRA ROAD #08-07/10,SINGAPORE,119968
BLK 22 WOODLANDS LINK,#02-46,SINGAPORE,738734
THE JTC SUMMIT,8 JURONG TOWN HALL ROAD #07-01,SINGAPORE,609434
736A GEYLANG ROAD,,SINGAPORE,389647
54 SIGLAP DRIVE,,SINGAPORE,456176
7 CASUARINA ROAD,,SINGAPORE,579396
6B ORANGE GROVE ROAD,COMO HOUSE,SINGAPORE,258332
"61 STAMFORD ROAD,",STAMFORD COURT #02-02,SINGAPORE,178892
79 ANSON ROAD,#11-03A,SINGAPORE,079906
BLOCK 1003 TOA PAYOH INDUSTRIAL PARK,#03-1529,SINGAPORE,319075
110A TELOK AYER STREET,,SINGAPORE,068579
"3 ANSON ROAD,","#25-01, SPRINGLEAF TOWER,",SINGAPORE,079909
1 NORTH BRIDGE ROAD,#23-06 HIGH STREET CENTRE,SINGAPORE,179094
8 KALLANG AVENUE,#12-08 APERIA TOWER 1,SINGAPORE,339509
448 SERANGOON ROAD,#03-01,SINGAPORE,218138
38B CIRCULAR ROAD,#03-00,SINGAPORE,049394
908 UPPER THOMSON ROAD,#01-01,SINGAPORE,787111
221 HENDERSON ROAD,#06-10 HENDERSON BUILDING,SINGAPORE,159557
35 PIONEER ROAD,,SINGAPORE,628503
29 INTERNATIONAL BUSINESS PARK,#02-01 ACER BUILDING,SINGAPORE,609923
2 SHENTON WAY,#18-01,SINGAPORE,068804
20 KALLANG AVENUE,#05-05 PICO CREATIVE CENTRE,SINGAPORE,339411
10 ANSON ROAD,#03-27 INTERNATIONAL PLAZA,SINGAPORE,079903
15 FISHERY PORT ROAD,JURONG,SINGAPORE,619735
3015A UBI ROAD 1,#05-11 KAMPONG UBI IND EST,SINGAPORE,408705
NO 36 KIAN TECK RD,,SINGAPORE,628781
460 ALEXANDRA ROAD,#25-01 TO #25-02 PSA BUILDING,SINGAPORE,119963
290 ORCHARD ROAD,#10-01 PARAGON,SINGAPORE,238859
"8 KALLANG SECTOR,",#04-00 EAST WING,SINGAPORE,349282
2 WOODLANDS SECTOR 1,#03-16 WOODLANDS SPECTRUM 1,SINGAPORE,738068
8 MARINE VIEW,#30-01 ASIA SQUARE TOWER 1,SINGAPORE,018960
3 KILLINEY ROAD,#06-02/06 WINSLAND HOUSE I,SINGAPORE,239519
6 JALAN KILANG,#02-01 DADLANI IND BLDG,SINGAPORE,159406
63 HILLVIEW AVENUE,#09-19 LAM SOON INDUSTRIAL BUILDING,SINGAPORE,669569
750A CHAI CHEE ROAD,#04-02/03 TECHNOPARK@CHAI CHEE,SINGAPORE,469001
1090 LOWER DELTA ROAD,#05-15/16 JTC TIONG BAHRU INDUSTRIAL ESTATE,SINGAPORE,169201
991 ALEXANDRA ROAD,#01-04,SINGAPORE,119964
"BLK 25, KALLANG AVENUE",#03-01 KALLANG BASIN INDUSTRIAL ESTATE,SINGAPORE,339416
47 KALLANG PUDDING ROAD,#09-01-02 THE CRESCENT@KALLANG,SINGAPORE,349318
750 CHAI CHEE ROAD,OASIS TECHNOPARK@CHAI CHEE,SINGAPORE,469000
BLK 221 HENDERSON ROAD,UNIT 05-10 HENDERSON BUILDING,SINGAPORE,159557
1 COMMONWEALTH LANE,#04-22/23 ONE COMMONWEALTH,SINGAPORE,149544
#02-02 ONEO15 MARINA CLUB,"11 COVE DRIVE, SENTOSA COVE",SINGAPORE,098497
101 THOMSON ROAD,#04-00,SINGAPORE,307591
182 CECIL STREET,#15-01 FRASERS TOWER,SINGAPORE,069547
29 BENOI PLACE,JURONG,SINGAPORE,629946
9A BENOI SECTOR,,SINGAPORE,629862
10 ANSON ROAD,#33-03A INTERNATIONAL PLAZA,SINGAPORE,079903
NO. 22 CAVENAGH ROAD,,SINGAPORE,229617
60 ALBERT STREET,"#15-03 TO 06, OG ALBERT COMPLEX",SINGAPORE,189969
47 SCOTTS ROAD,#05-03 GOLDBELL TWRS,SINGAPORE,228233
61 STAMFORD ROAD,#03-03 STAMFORD COURT,SINGAPORE,178892
100G PASIR PANJANG ROAD,#02-01 INTERLOCAL CENTRE,SINGAPORE,118523
2 KALLANG PUDDING ROAD,#06-16 MACTECH BUILDING,SINGAPORE,349307
26 GUL ROAD,,SINGAPORE,629346
19 SENOKO SOUTH ROAD,,SINGAPORE,758078
115 AIRPORT CARGO RD #06-17 CARGO,AGENTS BLDG C BOX 64 SG ATTN: PAUL TEO,SINGAPORE,918105
36 ROBINSON ROAD,#08-01/06 CITY HOUSE,SINGAPORE,068877
19 CARPENTER STREET,#03-00,SINGAPORE,059908
22 ANG MO KIO INDUSTRIAL PARK2,,SINGAPORE,569506
24 SIN MING LANE,#02-97 MIDVIEW CITY,SINGAPORE,573970
23 NEW INDUSTRIAL RD,#05-10 SOLSTICE BUSINESS CENTRE,SINGAPORE,536209
152 BEACH ROAD,GATEWAY EAST #26-05,SINGAPORE,189721
6 TEMASEK BOULEVARD,#43-00 SUNTEC TOWER 4,SINGAPORE,038986
290G BKT BATOK ST 24,#17-99,SINGAPORE,656290
100 LORONG 23 GEYLANG,#01-03 D'CENTENNIAL BUILDING,SINGAPORE,388398
40 APLS AVENUE,#07-02,SINGAPORE,498781
BLK 33 MARSLING INDUSTRIAL ROAD 3,#04-06,SINGAPORE,609917
9 TAMPINES GRANDE,#06-13,SINGAPORE,528735
"80 PASIR PANJANG ROAD,","#16-81/82, MAPLETREE BUSINESS CITY,",SINGAPORE,117372
10 KAKI BUKIT AVE 4,#06-69,SINGAPORE,415874
BLK 750A CHAI CHEE RD,#06-01 CHAI CHEE IND PK,SINGAPORE,469001
SINGAPORE POST LIMITED,37A TAMPINES STREET 92,SINGAPORE,528879
12 SELETAR AEROSPACE CRESCENT,,SINGAPORE,797566
47 SCOTTS ROAD,#11-01 GOLDBELL TOWERS,SINGAPORE,228233
67 TUAS AVENUE 1,,SINGAPORE,639509
1 GEORGE STREET,#16-04/ 05/ 06,SINGAPORE,049145
390 HAVELOCK ROAD,KING CENTER #05-01,SINGAPORE,169662
1 COLEMAN STREET #03-09,THE ADELPHI,SINGAPORE,179803
33 UBI AVE 3,#03-15 VERTEX,SINGAPORE,408868
21 WOODLANDS CLOSE,#03-27 PRIMZ BIZHUB,SINGAPORE,737854
570 SERANGOON ROAD,,SINGAPORE,218185
"100 JALAN SULTAN, #02-22,","SULTAN PLAZA,",SINGAPORE,199001
627A ALJUNIED ROAD,#09-02 BIZTECH CENTRE,SINGAPORE,389842
1 NORTH BRIDGE ROAD,#02-34 HIGH STREET CENTER,SINGAPORE,170094
12 TUAS LOOP,TUAS CONNECTION,SINGAPORE,637346
72 ANSON ROAD,#06-01 ANSON HOUSE,SINGAPORE,079911
175A BENCOOLEN STREET,#10-11/12 BURLINGTON SQUARE,SINGAPORE,189650
"8 EU TONG SEN STREET,","THE CENTRAL, OFFICE 1, #21-95",SINGAPORE,059818
302 ORCHARD ROAD,#07 -03 TONG BUILDING,SINGAPORE,238862
1 BENOI PLACE,,SINGAPORE,629923
116 NEYTHAL ROAD,3RD STOREY,SINGAPORE,628603
77 HIGH STREET,#02-02 HIGH STREET PLAZA,SINGAPORE,179433
67 UBI CRESCENT,#05-05 TECHNIQUES CENTRE,SINGAPORE,408560
10 ANSON ROAD,#17-26 INTERNATIONAL PLAZA,SINGAPORE,079903
"GREAT WORLD CITY, 1 KIM SENG PROMENADE",#13-11 WEST TOWER,SINGAPORE,237994
89B AMOY STREET,,SINGAPORE,069908
3 STADIUM DRIVE,,SINGAPORE,397630
"60, KAKI BUKIT PLACE, #08-14,","EUNOS TECHPARK, LOBBY A,",SINGAPORE,415979
7 JOO KOON CRESCENT,,SINGAPORE,629024
200 JALAN SULTAN,#03-42 TEXTILE CENTRE,SINGAPORE,199018
1 VENTURE AVENUE,#04-12,SINGAPORE,608521
101 CECIL STREET,#17-07 TONG ENG BUILDING,SINGAPORE,069533
UNIT NO 110 TUAS SOUTH AVENUE 2,WEST POINT BIZHUB,SINGAPORE,637160
20 TUAS CRESCENT,,SINGAPORE,638714
111A TELOK AYER STREET,2ND FLOOR,SINGAPORE,068580
30 PASIR PANJANG ROAD,#10-31/32,SINGAPORE,117440
1 DEPOT CLOSE,3201-4201-0000-B700,SINGAPORE,109841
250 NORTH BRIDGE ROAD,#24-00 RAFFLES CITY TOWER,SINGAPORE,179101
9 TAMPINES GRANDE,#08-11 TO 22,SINGAPORE,528735
10 ANG MO KIO STREET 63,KWANPEN BUILDING,SINGAPORE,569115
16 COLLYER QUAY,#34-01,SINGAPORE,049318
12 TUKANG INNOVATION DRIVE,#04-01,SINGAPORE,618303
61 ALEXANDRA TERRACE,#07-05/06 HARBOURLINK WAREHOUSE,SINGAPORE,119936
2 INTERNATIONAL BUSINESS PARK,#03-30 THE STRATEGY,SINGAPORE,609930
PTE LTD,62 LOYANG WAY,SINGAPORE,508770
29 PANDAN CRESCENT,,SINGAPORE,128473
120 ROBINSON ROAD #15-01,,SINGAPORE,068913
23 TUAS SOUTH AVE 6,SINGAPORE,SINGAPORE,637022
230 STADIUM BOULEVARD,,SINGAPORE,397799
133 WOODLANDS INDUSTRIAL PARK E5,,SINGAPORE,757503
390 HAVELOCK ROAD,#08-05. THE KING'S CENTRE,SINGAPORE,169662
3 TOH GUAN ROAD EAST,,SINGAPORE,608835
BLK 3014A UBI RD 1,#02-01/03,SINGAPORE,408703
5A SERANGOON NORTH AVENUE 5,,SINGAPORE,554574
8 EU TONG SEN STREET,"#22-89 THE CENTRAL,",SINGAPORE,059818
10 PANDAN CRESCENT,#03-04 & 05,SINGAPORE,128466
BLK 5004 ANG MO KIO AVE 5 TECHPLACE 2,#05-03/04,SINGAPORE,569872
362 UPPER PAYA LEBAR ROAD,#04-15 DA JIN FACTORY,SINGAPORE,534963
210 TUAS SOUTH AVENUE 2,WEST POINT BIZHUB,SINGAPORE,637210
BLK 3012 BEDOK INDUSTRIAL PARK E,#04-2068ENINSULA HOTEL,SINGAPORE,489978
514 CHAI CHEE LANE,#04-13/14 BEDOK INDUSTRIAL ESTATE,SINGAPORE,469029
2 VENTURE DRIVE,#19-15/17 VISION EXCHANGE,SINGAPORE,608526
80 RAFFLES PLACE,#33-00 UOB PLAZA 1,SINGAPORE,048624
1 GEORGE STREET,#15-03A,SINGAPORE,049145
"10 KALLANG AVENUE, APERIA",#13-13,SINGAPORE,339510
NO 6,PIONEER PLACE,SINGAPORE,627705
21 OCEAN WAY,,SINGAPORE,098374
"9 RAFFLES PLACE, LEVEL 6",REPUBLIC PLAZA,SINGAPORE,048619
7 SENOKO LOOP,,SINGAPORE,758146
MANAGER PTE. LTD.,"#01-01, 68 TRAS STREET",SINGAPORE,079007
20 WOODLANDS LINK,#05-19 WOODLANDS EAST INDUSTRIAL ESTATE,SINGAPORE,738733
29 ST. NICHOLAS VIEW,,SINGAPORE,567992
33 UBI AVENUE 3,#01-30 VERTEX,SINGAPORE,408868
1 SCOTTS ROAD,#23-06 SHAW CENTRE,SINGAPORE,228208
54 LOYANG WAY,,SINGAPORE,508747
300 BEACH ROAD,#02-01 THE CONCOURSE,SINGAPORE,199555
57 JALAN RINDU,,SINGAPORE,537544
BLK 5004 ANG MO KIO AVE 5,#04-01 TECHPLACE II,SINGAPORE,569872
20 MCCALLUM STREET,#19-01 TOKIO MARINE CENTRE,SINGAPORE,069046
350 ORCHARD ROAD,#14-01 SHAW HOUSE,SINGAPORE,238868
ONE RAFFLES QUAY,#23-01 NORTH TOWER,SINGAPORE,048583
6 TEMASEK BOULEVARD,#09-05 SUNTEC TOWER 4,SINGAPORE,038986
8 ROBINSON ROAD,#07-00 ASO BUILDING,SINGAPORE,048544
705 SIMS DRIVE,#06-14B,SINGAPORE,387384
8 TEMASEK BOULEVARD #36-02,SUNTEC TOWER THREE,SINGAPORE,038988
9 RAFFLES PLACE,#17 - 02/ 03 REPUBLIC PLAZA,SINGAPORE,048619
25 TUAS VIEW CLOSE,,SINGAPORE,637480
10 UBI CRESCENT,"#06-18, UBI TECHPARK",SINGAPORE,408564
10 MOHAMED SULTAN ROAD,#02-01,SINGAPORE,238960
111 NORTH BRIDGE ROAD,#07-09 PENINSULA PLAZA,SINGAPORE,179098
50 CHIN SWEE ROAD,#08-02 THONG CHAI BUILDING,SINGAPORE,169874
6 RAFFLES QUAY,#20-07,SINGAPORE,048580
460 ALEXANDRA ROAD,#15-01 PSA BUIDLING,SINGAPORE,119963
110 ROBINSON ROAD,#11-00,SINGAPORE,068901
61 BUKIT BATOK CRESCENT,#06-03 HENG LOONG BUILDING,SINGAPORE,658078
316 TANGLIN ROAD,#02-01,SINGAPORE,247978
22 MALACCA STREET,#03-01 RB CAPITAL BUILDING,SINGAPORE,048980
9 RAFFLES PLACE,#54-01 REPUBLIC PLAZA,SINGAPORE,048619
1 MARINA BOULEVARD,#28-00 ONE MARINA BOULEVARD,SINGAPORE,018989
NO 2 SIMS CLOSE,#03-08 GEMINI @ SIMS,SINGAPORE,387298
72 LOYANG WAY,,SINGAPORE,508762
7 CHATSWORTH ROAD,,SINGAPORE,249761
220 SERANGOON AVENUE 4,#02-232,SINGAPORE,550220
NO 2 SCIENCE PARK DRIVE #07-01 ASCENT,,SINGAPORE,118222
8 BURN ROAD,#05-07 TRIVEX,SINGAPORE,369977
41 JURONG EAST AVENUE 1,#19-04 PARC OASIS,SINGAPORE,609777
10 COLLYER QUAY,#07-01 OCEAN FINANCIAL CENTRE,SINGAPORE,049315
150 BEACH ROAD,#18-01 GATEWAY WEST,SINGAPORE,189720
20 COLLYER QUAY,#10-01,SINGAPORE,049319
91 BENCOOLEN STREET,#05-04 SUNSHINE PLAZA,SINGAPORE,189652
622 LORONG 1 TOA PAYOH,LEVEL 4,SINGAPORE,319763
2 VENTURE DRIVE,#19 -18 VISION EXCHANGE,SINGAPORE,608526
48 TOH GUAN ROAD EAST,#06-104 ENTERPRISE HUB,SINGAPORE,608586
3 KILLINEY ROAD,#08-01 WINSLAND HOUSE I,SINGAPORE,239519
1 NORTH BRIDGE ROAD,# 18-09 HIGH STREET CENTRE,SINGAPORE,179094
8 KALLANG SECTOR,#04-00 EAST WING,SINGAPORE,349282
5 TAI SENG DRIVE #06-01,STEEL INDUSTRIES BUILDING,SINGAPORE,535217
159 KAMPONG AMPAT,#05-03A/04 KA PLACE,SINGAPORE,368328
ISQ BUILDING DESPATCH STORE,25 AIRLINE ROAD,SINGAPORE,819829
12 LITTLE ROAD,#05-02,SINGAPORE,536986
6 CHANGI SOUTH STREET 3,,SINGAPORE,486128
60 KANDAHAR STREET,,SINGAPORE,198906
1 CHANGI SOUTH STREET 2,DHL DISTRIBUTION CTR,SINGAPORE,486760
11 ANN SIANG ROAD,,SINGAPORE,069691
BLK 1001 JALAN BUKIT MERAH,#05-03 REDHILL INDUSTRIAL ESTATE,SINGAPORE,159455
8 PENJURU LANE,,SINGAPORE,609189
16 KALLANG PLACE,#03-33,SINGAPORE,339156
16 AYER RAJAH CRESCENT,#04-05G TEMPCO TECHNOMINIUM,SINGAPORE,139965
123 GENTING LANE,#04-01 YENOM IND BLDG,SINGAPORE,349574
50 COLLYER QUAY,,SINGAPORE,049321
48 SUNGEI KADUT AVENUE,,SINGAPORE,729671
2 ALEXANDRA ROAD,#03-02 DELTA HSE,SINGAPORE,159919
"5 MANDAI LINK,","#11-01/02/03/04/05/06/07/08, MANDAI FOODLINK",SINGAPORE,728654
8 CROSS STREET LEVEL 22,PWC BUILDING,SINGAPORE,048424
255 PANDAN LOOP,,SINGAPORE,128433
8 TUAS DRIVE 2,,SINGAPORE,638643
20 JALAN AFIFI,CISCO CENTRE,SINGAPORE,409179
"60,","SOUTH BRIDGE ROAD,",SINGAPORE,058690
1 CHANGI BUSINESS PARK CRESCENT,#06-01 PLAZA 8 @CBP TOWER A,SINGAPORE,486025
302 ORCHARD ROAD,#18-01 TONG BUILDING,SINGAPORE,238862
497D TAMPINES STREET 45,#03-66,SINGAPORE,523497
33 UBI AVENUE 3,#07-22 THE VERTEX (BLOCK B),SINGAPORE,408868
"150 BEACH ROAD, #28-05/06",GATEWAY WEST,SINGAPORE,189720
28 KRANJI ROAD,,SINGAPORE,739467
"200 JALAN SULTAN,",#11-02TEXTILE CENTRE,SINGAPORE,199018
23 NEYTHAL ROAD,"BLK P, #02-01,",SINGAPORE,628588
27 TUAS SOUTH STREET 1,,SINGAPORE,638035
20 TUAS AVENUE 13,,SINGAPORE,638987
2 TUAS VIEW PLACE,#02-06 ENTERPRISE LOGISTICS CENTRE,SINGAPORE,637431
160 PAYA LEBAR ROAD,#02-04 ORION @ PAYA LEBAR,SINGAPORE,409022
300 BEACH ROAD,#20-01/07 THE CONCOURSE,SINGAPORE,199555
"152 , BEACH RD,","#24-06, GATEWAY EAST ,",SINGAPORE,189721
200 YISHUN AVE 7,,SINGAPORE,768766
"333A ORCHARD ROAD,","#04-30 MANDARIN GALLERY,",SINGAPORE,238897
"12 MARINA BOULEVARD,","#30-03, MARINA BAY FINANCIAL CENTRE",SINGAPORE,018982
51 CUPPAGE RD #06-01,,SINGAPORE,229469
108 PASIR PANJANG ROAD,#02-08 GOLDEN AGRI PLAZA,SINGAPORE,118535
5 SHENTON WAY,21-01 UIC BUILDING,SINGAPORE,068808
7 TEMASEK BOULEVARD,#20-02 SUNTEC TOWER ONE,SINGAPORE,038987
240 TANJONG PAGAR ROAD,#13-00 KEPPEL TOWERS 2,SINGAPORE,088540
20 PANDAN ROAD,,SINGAPORE,609272
3 BIOPOLIS DRIVE,#03 -19 SYNAPSE,SINGAPORE,138623
622 LORONG 1 TOA PAYOH,,SINGAPORE,319763
161 PIONEER ROAD,,SINGAPORE,639304
31 BUKIT BATOK CRESCENT,#01-30 THE SPLENDOUR,SINGAPORE,658070
6 SHENTON WAY,OUE DOWNTOWN 2 33-00,SINGAPORE,068809
80 PASIR PANJANG ROAD #18-81,MAPLETREE BUSINESS CITY II,SINGAPORE,117372
8 BURN ROAD,#14-10 TRIVEX,SINGAPORE,369977
25 INTERNATIONAL BUSINESS PARK,#04-70,SINGAPORE,609916
6 SUNGEI KADUT STREET 2,,SINGAPORE,729228
"BLK 203, WOODLAND AVE 9",#06-51,SINGAPORE,038987
1 SCOTTS ROAD,#24-10 SHAW CENTRE,SINGAPORE,228208
150 BEACH ROAD,#25-02 GATEWAY WEST,SINGAPORE,189720
3 PICKERING STREET,#01-68 NANKIN ROW,SINGAPORE,048660
8 CROSS STREET,#15-01 MANULIFE TOWER,SINGAPORE,048424
79 ANSON ROAD,#06-04/06,SINGAPORE,079906
BLK 13 LORONG 8 TOA PAYOH,#06-04 BRADDELL TECH,SINGAPORE,319261
3 KIAN TECK CRESCENT,,SINGAPORE,628881
7 SOON LEE STREET,"#02-06/07 ISPACE,",SINGAPORE,627608
"2 SCIENCE PARK DRIVE, #07-13 ASCENT",SINGAPORE SCIENCE PARK 1,SINGAPORE,118222
1 COLEMAN STREET,#06-09 THE ADELPHI,SINGAPORE,179803
28 GENTING LANE,#07-01/02 PLATINUM 28,SINGAPORE,349585
14 THIRD LOK YANG ROAD,,SINGAPORE,628008
11 CALSHOT ROAD,,SINGAPORE,509932
20A CIRCULAR ROAD,,SINGAPORE,049376
"50 SERANGOON NORTH AVE 4 #08-12,","FIRST CENTRE,",SINGAPORE,555856
10 UBI CRESCENT,#01-85 UBI TECHPARK LOBBY E,SINGAPORE,408564
35 TAMPINES STREET 92,#04-01,SINGAPORE,528880
223@MOUNTBATTEN,223 MOUNTBATTEN ROAD #02-28,SINGAPORE,398008
38 ST. PATRICK'S ROAD,#01-06,SINGAPORE,424162
2 TOH TUCK LINK,#05-01,SINGAPORE,596225
"BLK 25, KALLANG AVENUE",#06-01,SINGAPORE,339416
"54 GENTING LANE,",#03-05 RUBY LAND COMPLEX,SINGAPORE,349562
ONE RAFFLES PLACE,#44-02,SINGAPORE,048616
2 CHAI CHEE ROAD,#10-286,SINGAPORE,461002
19 GENTING ROAD,LEVEL 3,SINGAPORE,349478
1557 KEPPEL ROAD,BLOCK C #03-06 CANTONMENT CENTRAL,SINGAPORE,089066
120 LOWER DELTA ROAD,#10-13 CENDEX CENTRE,SINGAPORE,169208
152 BEACH ROAD,#09-07 GATEWAY EAST,SINGAPORE,189721
9 TEMASEK BOULEVARD,#20-02 SUNTECH TOWER 2,SINGAPORE,038989
30 CECIL STREET,#17-01/08 PRUDENTIAL TOWER,SINGAPORE,049712
23 NEYTHAL ROAD,"BLK P, #02-01",SINGAPORE,628588
BLK 5052 ANG MO KIO IND PK 2,#01-1061,SINGAPORE,569555
BLK 889A WOODLANDS DR 50,#12-2229,SINGAPORE,731889
165 PENANG ROAD,,SINGAPORE,238461
18 JOO KOON CRESCENT,,SINGAPORE,629019
10 PANDAN CRESCENT,#02-04,SINGAPORE,128466
158 KALLANG WAY,"#02-06, PERFORMANCE BUILDING",SINGAPORE,349245
21 GUL DRIVE,,SINGAPORE,629470
230 VICTORIA STREET #11-08,BUGIS JUNCTION TOWERS,SINGAPORE,188024
"171 CHIN SWEE ROAD,",#04-02 CES CENTRE,SINGAPORE,169877
51 BRAS BASAH ROAD,#04-06 MANULIFE CENTRE,SINGAPORE,189554
3 CHANGI NORTH STREET 2,#04-01 LOGISTECH BUILDING,SINGAPORE,498827
75 HIGH STREET,,SINGAPORE,179435
3 TEMASEK AVENUE,#30-01 CENTENNIAL TOWER,SINGAPORE,039190
9 CHANGI SOUTH STREET 3,#08-01/05,SINGAPORE,486361
NO 4 SERANGOON NORTH,AVENUE 5,SINGAPORE,554532
47 JALAN BUROH #08-02,,SINGAPORE,619491
111 SOMERSET ROAD #08-11,,SINGAPORE,238164
51 MIDDLE ROAD,#05-01,SINGAPORE,188959
80 PASIR PANJANG ROAD,#18-81 MAPLETREE BUSINESS CITY II,SINGAPORE,117372
150 ORCHARD ROAD #03-05 ORCHARD PLAZA,,SINGAPORE,238841
60 MACPHERSON ROAD,#04-08 THE SIEMENS CENTRE,SINGAPORE,348615
60 PAYA LEBAR RD,#10-51 PAYA LEBAR SQUARE,SINGAPORE,409051
"11 LORONG PASU, SUNGEI TENGAH AGROTECH PARK",,SINGAPORE,699191
"1-D CHATSWORTH AVENUE,",,SINGAPORE,249841
"73 SCIENCE PARK DRIVE, 02-01/03","CINTECH 1 BLDG., SINGAPORE SCIENCE PARK 1,",SINGAPORE,118254
11 SERANGOON NORTH AVENUE 5,#02-01,SINGAPORE,544809
5 JALAN KILANG,#03-01,SINGAPORE,159405
6 CHANGI NORTH STREET 2,,SINGAPORE,498831
204C COMPASSVALE DRIVE,#02-433,SINGAPORE,543204
"101 CECIL STREET, TONG ENG BUILDING","#22-04,",SINGAPORE,069533
107 CYLON RD,#03-05,SINGAPORE,429690
"217, HENDERSON ROAD","# 03-10,",SINGAPORE,159555
627A ALJUNIED ROAD,#05-06 BIZ TECH CENTER,SINGAPORE,389842
7 YISHUN INDUSTRIAL ST 1,NORTHSPRING BIZ HUB #01-33,SINGAPORE,768162
34 PENJURU LANE,#04-01 PENJURU LOGISTICS HUB,SINGAPORE,609201
50 ALPS AVENUE,#03-00 SANDVIK BUILDING,SG,498782
4 LOYANG WAY 1,#03-01,SINGAPORE,508708
25 INTERNATIONAL BUSINESS PARK,#04-09/10 GERMAN CENTRE,SINGAPORE,609916
159 KAMPONG AMPAT,#06-04 KA PLACE,SINGAPORE,368328
438B ALEXANDRA ROAD,"#01-08, ALEXANDRA TECHNOPARK TOWER B",SINGAPORE,119968
133 NEW BRIDGE ROAD,#25-08 CHINATOWN POINT,SINGAPORE,059413
25 BUKIT BATOK CRESCENT,THE ELITIST #02-07,SINGAPORE,658066
83 CLEMENCEAU AVENUE,#08-01/08 UE SQUARE,SINGAPORE,239920
RIGEL INNOVATION CENTER,"20 CHANGI BUSINESS PARK CENTRAL 2, #05-02/03",SINGAPORE,486031
435 ORCHARD ROAD,#21-05 WISMA ATRIA,SINGAPORE,238877
16 TANNERY LANE,CRYSTAL TIME BUILDING,SINGAPORE,347778
14 ANG MO KIO STREET 63,,SINGAPORE,569116
31 EXETER ROAD,#16-00 COMCENTRE,SINGAPORE,239732
20 TEBAN GARDENS CRESCENT,,SINGAPORE,608928
111 SOMERSET ROAD,#11-20 TRIPLEONE SOMERSET,SINGAPORE,238164
"39, WOODLANDS CLOSE,","MEGA@WOODLANDS, #07-07,",SINGAPORE,737856
8 COMMONWEALTH LANE,#04-03,SINGAPORE,149555
43 SHIPYARD ROAD,,SINGAPORE,628135
42 BENOI ROAD,,SINGAPORE,629903
3000 MARSILING ROAD,,SINGAPORE,739108
77 HIGH STREET,#11-02 HIGH STREET PLAZA,SINGAPORE,179433
77 HIGH STREET,#06-04 HIGH STREET PLAZA,SINGAPORE,179433
1 FISHERY PORT ROAD,JURONG,SINGAPORE,619729
110 LORONG 23 GEYLANG,#06-01 VICTORY CENTER,SINGAPORE,388410
469A ADMIRALTY DRIVE,#14-113,SINGAPORE,751469
15 JALAN KILANG BARAT,#07-01 FRONTECH CENTRE,SINGAPORE,159357
