sg_address1,sg_address2,sg_address3,zipcode
10 MARINA BOULEVARD,#32-01 MARINA BAY FINANCIAL CENTRE TOWER 2,SINGAPORE,018983
50 RAFFLES PLACE,#24-01 SINGAPORE LAND TOWER,SINGAPORE,048623
1 RAFFLES QUAY,#18-00 NORTH TOWER,SINGAPORE,048583
1 TEMASEK AVENUE,#02-01 MILLENIA TWR,SINGAPORE,039192
1 RAFFLES QUAY,#50-01 NORTH TOWER,SINGAPORE,048583
21 CHURCH STREET,#01-01 CAPITAL SQ 2,SINGAPORE,049480
80 TUAS WEST DRIVE,,SINGAPORE,638417
18 TAI SENG STREET,#08-08,SINGAPORE,539775
108 NEMESU AVENUE,,SINGAPORE,576336
10 ANSON ROAD INTERNATIONAL PLAZA,#27-15,SINGAPORE,079903
"21 WOODLANDS CLOSE,",#08-28 PRIMZ BIZHUB,SINGAPORE,737854
65 CHULIA STREET,#18-01 OCBC CENTRE,SINGAPORE,049513
25 NORTH BRIDGE ROAD,#07-00 EFG BANK BUILDING,SINGAPORE,179104
80 RAFFLES PLACE,#46-01 UOB PLAZA 1,SINGAPORE,048624
"28 MAXWELL ROAD,","#03-01 MAXWELL CHAMBERS SUITES,",SINGAPORE,069120
42A PENJURU ROAD,LEVEL 3 (LOBBY 2),SINGAPORE,609164
"DIEPPE BARRACKS, 325 SEMBAWANG ROAD",,SINGAPORE,757758
20 PASIR PANJANG ROAD (EAST LOBBY),#14-21 MAPLETREE BUSINESS CITY,SINGAPORE,117439
83 SCIENCE PARK DRIVE,"THE CURIE, #04-03/04",SINGAPORE,118258
8 CROSS STREET,#24-03/04 PWC BUILDING,SINGAPORE,049712
138 MARKET STREET,#06-03 CAPITAGREEN,SINGAPORE,048946
"1 BUKIT BATOK STREET 22,",#03-02,SINGAPORE,659592
NO. 6 RAFFLES QUAY,#16-01,SINGAPORE,048580
168 ROBINSON RD,BASEMENT 1 CAPITAL TWR,SINGAPORE,068912
7 CHANGI BUSINESS PARK CRESCENT,,SINGAPORE,486028
16 RAFFLES QUAY,#22-00 HONG LEONG BUILDING,SINGAPORE,048581
9 RAFFLES PLACE,#37-01 REPUBLIC PLAZA SINGAPORE,SINGAPORE,048619
8 BIOMEDICAL GROVE,#02-01 / 04 NEUROS,SINGAPORE,138665
9 RAFFLES PLACE,#56-01 REPUBLIC PLAZA,SINGAPORE,048619
138 MARKET STREET,#24-04 CAPITA GREEN,SINGAPORE,048946
"63, MARKET STREET",#09-01 THE BANK OF SINGAPORE CENTRE,SINGAPORE,018942
1 WALLICH STREET,#16-03 GUOCO TOWER,SINGAPORE,078881
6 BATTERY ROAD,#14-03/04,SINGAPORE,049909
10 COLLYER QUAY,#24-08 OCEAN FINANCIAL CENTRE,SINGAPORE,049315
10 ANSON ROAD,#29-07 INTERNATIONAL PLAZA,SINGAPORE,079903
6 SHENTON WAY,OUE DOWNTOWN 2 #25-08,SINGAPORE,068809
NO. 2 NASSIM ROAD,,SINGAPORE,258370
55 MOHAMED SULTAN ROAD,#01-04 SULTAN LINK,SINGAPORE,238995
1 RAFFLES PLACE,#36-01 ONE RAFFLES PLACE,SINGAPORE,048616
2 CHANGI BUSINESS PARK CRESCENT,#05-09 DBS ASIA HUB BLK B,SINGAPORE,486029
ONE TEMASEK AVENUE,#27-01 MILLENIA TOWER,SINGAPORE,039192
PRIVATE BANKING - 80 RAFFLES PLACE,UOB PLAZA 1 #42-01,SINGAPORE,048624
63 MARKET STREET,#09-01 THE BANK OF SINGAPORE CENTRE,SINGAPORE,048942
5001 BEACH #04-03 SPACE D7,GOLDEN MILE COMPLEX,SINGAPORE,199588
1 RAFFLES QUAY,#13-00 SOUTH TOWER,SINGAPORE,048583
31 SCIENCE PARK ROAD,THE CRIMSON,SINGAPORE,117611
8 MARINA BOULEVARD,#05-01 MARINA BAY FINANCIAL TOWER 1,SINGAPORE,018981
5 TUAS SOUTH,STREET 15,SINGAPORE,636907
80 PASIR PANJANG ROAD,#20-81 MAPLETREE BUSINESS CITY,SINGAPORE,117372
TRANSACTION EXCHANGE CENTRE (TXC),8 MARINA VIEW #16-01 ASIA SQUARE TOWER 1,SINGAPORE,018960
461 CLEMENTI ROAD,,SINGAPORE,599491
331 NORTH BRIDGE ROAD,#17-00 ODEON TWRS,SINGAPORE,188720
20 TUAS AVENUE 10,,SINGAPORE,639144
5 INTERNATIONAL BUSINESS PARK,#04-00,SINGAPORE,609914
1 BENOI CRESCENT,,SINGAPORE,629986
"18 CROSS STREET, #07-12",CHINA SQUARE CENTRE,SINGAPORE,078423
1 KIM SENG PROMENADE,#09-04/05 GREAT WORLD CITY,SINGAPORE,237994
1 NORTH BRIDGE ROAD,# 02-34 HIGH STREET CENTER,SINGAPORE,179094
81 VICTORIA STREET,ADMINISTRATION BUILDING,SINGAPORE,188065
38 JALAN PEMIMPIN,#02 -01 M38,SINGAPORE,577178
39A AMOY STREET,,SINGAPORE,069865
182 CECIL STREET,#27-01 FRASERS TOWER,SINGAPORE,069547
11 NORTH BUONA VISTA DRIVE,#21-07 THE METROPOLIS TOWER 2,SINGAPORE,138589
3 CHURCH STREET,#25 -01 SAMSUNG HUB,SINGAPORE,049483
"21 JALAN BUROH LEVEL 2,",,SINGAPORE,619478
"OCEAN FINANCIAL CENTRE,","#08-09, 10 COLLYER QUAY,",SINGAPORE,049315
ONE RAFFLES PLACE TOWER 2,#10-62,SINGAPORE,048616
TED,"80 ANSON ROAD,#28-02, FUJI XEROX TOWERS",SINGAPORE,079907
7 STRAITS VIEW #28-01,MARINA ONE WEST TOWER 1,SINGAPORE,018936
12 MARINA BOULEVARD,"40-00 MARINA BAY FINANCIAL CENTRE, TOWER 3",SINGAPORE,018982
150 BEACH ROAD,#16-01 GATEWAY WEST,SINGAPORE,189720
"7 STRAITS VIEW, MARINA ONE","EAST TOWER, LEVEL 9",SINGAPORE,018936
14 TUAS DRIVE 2,,SINGAPORE,638647
"12 BULIM AVENUE,",,SINGAPORE,648167
NO 23 KIAN TECK DRIVE,,SINGAPORE,628840
1 RAFFLES PLACE 19-01 OFFICE TOWER ONE,,SINGAPORE,048616
1 RAFFLES PLACE #38-01,ONE RAFFLES PLACE,SINGAPORE,048616
30 RAFFLES PLACE # 17-00,CHEVRON HOUSE,SINGAPORE,048622
6 TAGORE DRIVE,B1-01 TAGORE BUILDING,SINGAPORE,787623
"20 MCCALLUM STREET, #18-02",TOKIO MARINE CENTRE,SINGAPORE,069046
"51 SCIENCE PARK ROAD #04-23 SCIENCE PARK II,",THE ARIES,SINGAPORE,117586
20 COLLYER QUAY,#01-01,SINGAPORE,049319
3 SHENTON WAY,#17-07 SHENTON HOUSE,SINGAPORE,068805
6 SHENTON WAY,#10-10 TOWER 2,SINGAPORE,068809
12 MARINA BOULEVARD,LEVEL 23 MBFC TOWER 3,SINGAPORE,018982
90 EU TONG SEN STREET,"#04-01/02 BLOCK A , CREATIVE INNOVATIVE","DEVELOPMENT CENTRE, SINGAPORE",059811
8 TEMASEK BOULEVARD,#11-01 SUNTEC TOWER THREE,SINGAPORE,038988
"8 CROSS STREET, #08-01/06 PWB BUILDING,",,SINGAPORE,048424
12 TAI SENG LINK,#03-01,SINGAPORE,534233
100 PASIR PANJANG ROAD,#04-03,SINGAPORE,118518
"NO.2 HARBOURFRONT CENTRE,","#02-01, MERRILL LYNCH HARBOURFRONT,",SINGAPORE,098499
18 BOON LAY WAY,#09-166 TRADEHUB 21,SINGAPORE,609966
4 SHENTON WAY,#08-03 SGX CENTRE 2,SINGAPORE,068807
8 MARINA VIEW,#41-06 ASIA SQUARE TOWER 1,SINGAPORE,018960
10 HOE CHIANG ROAD,#13-02 KEPPEL TOWERS,SINGAPORE,089315
80 RAFFLES PLACE,#51-02 UOB PLAZA 1,SINGAPORE,048624
10 HOE CHIANG ROAD,#11-01 KEPPEL TOWERS,SINGAPORE,089315
8 BURN RD,#15-08 TRIVEX,SINGAPORE,369977
133 CECIL STREET,#11-01A/B KECK SENG TOWER,SINGAPORE,069535
8 CROSS STREET #09-06,PWC BUILDING,SINGAPORE,048424
"1 ROBINSON ROAD,",AIA TOWER - #11-00,SINGAPORE,048542
2 TUAS SOUTH AVENUE 14,,SINGAPORE,636976
3A INTERNATIONAL BUSINESS PARK,#07-14/17 ICON@IBP TOWER B,SINGAPORE,609935
50 ALPS AVENUE,#04-00 SANDVIK BUILDING,SINGAPORE,498782
1 INTERNATIONAL BUSINESS PARK,#08-01/02/03/04 THE SYNERGY,SINGAPORE,609917
NO 10. TOH GUAN ROAD,#04-02,SINGAPORE,608838
6B ORANGE GROVE ROAD,#04-00 COMO HOUSE,SINGAPORE,258332
21 COLLYER QUAY,#04-02 HSBC BUILDING,SINGAPORE,049320
10 ADMIRALTY STREET,#02-14 NORTH LINK BUILDING,SINGAPORE,757695
209 WOODLANDS AVENUE 9,#04-57/58 SPECTRUM 2,SINGAPORE,738959
19 KEPPEL ROAD,#11-07 JIT POH BUILDING,SINGAPORE,089058
31 EXETER ROAD,#22-00 COMCENTRE,SINGAPORE,239732
135 BUKIT TIMAH ROAD,#04-00,SINGAPORE,229837
9 NORTH BUNO VISTA DRIVE,#09-01 METROPOLIS TOWER ONE,SINGAPORE,138588
152 BEACH ROAD,#35-00 GATEWAY EAST,SINGAPORE,189721
20 ANSON ROAD,#11-01 SUITE 11 TWENTY ANSON,SINGAPORE,079912
"MANULIFE TOWER, #23-04/05,","8 CROSS STREET,",SINGAPORE,048424
8 UPPER CHANGI ROAD NORTH,,SINGAPORE,506906
1A DEPOT CLOSE LEVEL 8,,SINGAPORE,109842
8 TEMASEK BOULEVARD #19-06,SUNTEC TOWER THREE,SINGAPORE,038988
"50 EAST COAST ROAD,","#B1-18 ROXY SQUARE,",SINGAPORE,428769
101 LORONG 23 GEYLANG,#06-04 PROSPER HOUSE,SINGAPORE,388399
8 SHENTON WAY,AXA TOWER #14-04,SINGAPORE,068811
50 COLLYER QUAY,#10-01 OUE BAYFRONT,SINGAPORE,049321
8 EU TONG SEN STREET,#23-82 THE CENTRAL 2,SINGAPORE,059818
6 SHENTON WAY,#15-08 OUE DOWNTOWN 2,SINGAPORE,068809
152 BEACH ROAD,#05-06/08 GATEWAY EAST,SINGAPORE,189721
138 ROBINSON ROAD,#24-03 OXLEY TOWER,SINGAPORE,068906
7 TEMASEK BOULEVARD,#22-01 SUNTEC TOWER 1,SINGAPORE,038987
3 HARBOURFRONT PLACE,#12-01 HARBOURFRONT TOWER 2,SINGAPORE,099254
150 CECIL STREET,#07-02,SINGAPORE,069543
"1A INTERNATIONAL BUSINESS PARK,","TOLARAM, #09-01",SINGAPORE,609933
11 NORTH BUONA VISTA,"16-08, METROPOLIS TOWER 2",SINGAPORE,138589
8 MARINA VIEW,"ASIA SQUARE TOWER 1, #43-01",SINGAPORE,018960
REGUS UOB PLAZA 1,"80 RAFFLES PLACE, LEVEL 35 & 36",SINGAPORE,048624
45 UBI ROAD 1,#02-01,SINGAPORE,408696
THE JTC SUMMITâ¬,8 JURONG TOWN HALL ROAD #07-01,SINGAPOREâ¬,609434
6 BATTERY ROAD,#17-04/05,SINGAPORE,049909
